n,scale_factor_a
2,1.5753238830040064
3,3.190613264596788
4,3.1906132645967964
5,3.5130556770215797
6,4.572660441336831
7,4.572660441336858
8,4.85421859640684
9,4.854218596406889
10,8.356231085464064
11,8.356231085464138
12,8.356231085464161
14,8.35623108546421
16,8.356231085464305
18,9.260567990234808
20,9.473738681935187
22,9.473738681935243
25,9.473738681935282
28,9.473738681935288
